date,temperature,rainfall,humidity
2023-03-24,21.3,0.0,55
2023-03-25,22.0,0.0,54
2023-03-26,23.4,0.0,52
2023-03-27,24.8,0.0,50
2023-03-28,25.5,0.0,48
2023-03-29,26.7,0.0,47
2023-03-30,27.9,0.0,46
2023-03-31,28.8,0.0,45
2023-04-01,29.5,0.0,43
2023-04-02,30.2,0.0,42
2023-04-03,31.0,0.0,40
2023-04-04,32.3,0.0,39
2023-04-05,33.5,0.0,38
2023-04-06,34.1,0.0,37
2023-04-07,33.8,0.0,39
2023-04-08,32.7,0.0,41
2023-04-09,31.5,0.0,42
2023-04-10,30.3,0.0,43
2023-04-11,29.8,0.0,44
2023-04-12,28.5,0.0,45
2023-04-13,27.3,0.0,46
2023-04-14,26.2,0.0,48
2023-04-15,25.7,0.0,49
2023-04-16,24.3,0.0,51
2023-04-17,23.1,0.0,53
2023-04-18,22.4,0.0,54
2023-04-19,21.9,0.0,56
2023-04-20,22.3,0.0,57
2023-04-21,23.7,0.0,55
2023-04-22,24.9,0.0,53
2023-04-23,26.1,0.0,52
2023-04-24,27.7,0.0,50
2023-04-25,29.0,0.0,49
2023-04-26,30.5,0.0,48
2023-04-27,31.8,0.0,47
2023-04-28,33.2,0.0,45
2023-04-29,34.0,0.0,44
2023-04-30,33.5,0.0,46
2023-05-01,34.8,0.0,43
2023-05-02,35.4,0.0,42
2023-05-03,36.0,0.0,41
2023-05-04,36.8,0.0,40
2023-05-05,37.5,0.0,39
2023-05-06,38.0,0.0,38
2023-05-07,38.6,0.0,37
2023-05-08,39.2,0.0,36
2023-05-09,39.8,0.0,35
2023-05-10,40.3,0.0,34
2023-05-11,39.7,0.0,36
2023-05-12,38.9,0.0,38
2023-05-13,38.1,0.0,39
2023-05-14,37.4,0.0,41
2023-05-15,36.7,0.0,43
2023-05-16,35.9,0.0,45
2023-05-17,35.0,0.0,46
2023-05-18,34.3,0.0,47
2023-05-19,33.5,0.0,48
2023-05-20,32.7,0.0,49
2023-05-21,31.8,0.0,51
2023-05-22,31.1,0.0,52
2023-05-23,30.4,0.0,54
2023-05-24,29.7,0.0,55
2023-05-25,28.5,0.0,56
2023-05-26,27.8,0.0,57
2023-05-27,26.9,0.0,58
2023-05-28,26.2,0.0,59
2023-05-29,25.4,0.0,60
2023-05-30,24.7,0.0,61
2023-05-31,24.0,0.0,62
2023-06-01,26.0,5.2,72
2023-06-02,27.0,8.5,75
2023-06-03,28.3,12.4,78
2023-06-04,29.5,15.7,80
2023-06-05,30.2,18.3,82
2023-06-06,29.7,10.2,79
2023-06-07,28.9,7.4,77
2023-06-08,28.1,5.6,75
2023-06-09,27.3,3.2,74
2023-06-10,26.5,2.1,73
2023-06-11,25.7,8.8,76
2023-06-12,24.9,12.3,79
2023-06-13,24.2,15.0,81
2023-06-14,25.4,18.2,83
2023-06-15,26.0,20.5,85
2023-06-16,27.1,12.0,82
2023-06-17,28.2,10.3,79
2023-06-18,29.0,7.8,76
2023-06-19,29.7,5.4,74
2023-06-20,30.4,2.9,73
2023-06-21,29.9,9.1,78
2023-06-22,28.7,11.5,80
2023-06-23,27.6,14.3,82
2023-06-24,26.4,16.8,83
2023-06-25,25.8,18.5,84
2023-06-26,25.2,20.0,85
2023-06-27,26.1,17.3,83
2023-06-28,27.0,14.1,80
2023-06-29,27.9,11.0,78
2023-06-30,28.7,8.2,76
2023-07-01,27.5,22.3,84
2023-07-02,26.8,28.7,87
2023-07-03,26.0,35.4,89
2023-07-04,25.2,30.2,90
2023-07-05,24.7,28.0,91
2023-07-06,24.0,26.3,92
2023-07-07,23.8,22.7,90
2023-07-08,24.5,19.4,88
2023-07-09,25.3,17.2,87
2023-07-10,26.0,14.8,85
2023-07-11,26.7,12.5,84
2023-07-12,27.1,10.3,82
2023-07-13,27.8,8.4,80
2023-07-14,28.4,6.7,78
2023-07-15,29.0,5.1,76
2023-07-16,29.7,9.4,79
2023-07-17,30.4,12.6,81
2023-07-18,31.0,14.9,83
2023-07-19,31.6,17.3,85
2023-07-20,30.8,19.2,86
2023-07-21,29.9,21.4,87
2023-07-22,29.0,23.0,89
2023-07-23,28.1,25.2,90
2023-07-24,27.4,27.5,91
2023-07-25,26.8,30.0,92
2023-07-26,26.3,28.4,90
2023-07-27,25.9,26.6,88
2023-07-28,25.3,23.4,86
2023-07-29,24.6,20.8,85
2023-07-30,24.1,18.6,84
2023-07-31,23.7,16.9,83
2023-08-01,24.5,22.0,85
2023-08-02,25.2,24.8,87
2023-08-03,26.0,27.4,89
2023-08-04,26.8,29.3,90
2023-08-05,27.5,30.1,91
2023-08-06,28.1,28.9,92
2023-08-07,28.8,27.1,90
2023-08-08,29.3,25.2,88
2023-08-09,29.8,23.4,86
2023-08-10,30.2,21.8,85
2023-08-11,30.9,20.0,84
2023-08-12,31.4,18.6,82
2023-08-13,31.9,17.0,80
2023-08-14,32.3,15.5,79
2023-08-15,32.9,14.2,78
2023-08-16,33.5,13.0,77
2023-08-17,34.0,12.1,75
2023-08-18,33.3,11.0,74
2023-08-19,32.7,10.0,73
2023-08-20,31.9,8.9,72
2023-08-21,31.1,7.6,71
2023-08-22,30.4,6.7,70
2023-08-23,29.8,5.8,69
2023-08-24,29.1,4.9,68
2023-08-25,28.3,4.1,67
2023-08-26,27.7,3.3,66
2023-08-27,27.0,2.8,65
2023-08-28,26.4,2.1,64
2023-08-29,25.7,1.6,63
2023-08-30,25.1,1.2,62
2023-08-31,24.5,0.9,61
2023-09-01,26.0,9.5,81
2023-09-02,26.8,11.0,82
2023-09-03,27.5,12.4,83
2023-09-04,28.1,13.5,84
2023-09-05,28.7,15.0,85
2023-09-06,29.3,16.8,86
2023-09-07,30.0,18.3,87
2023-09-08,30.5,12.4,85
2023-09-09,31.2,10.8,84
2023-09-10,31.8,9.7,83
2023-09-11,32.4,8.6,82
2023-09-12,33.0,7.5,81
2023-09-13,33.6,6.7,80
2023-09-14,34.2,5.8,79
2023-09-15,34.9,4.7,78
2023-09-16,35.3,3.8,76
2023-09-17,35.9,3.0,75
2023-09-18,36.4,2.4,74
2023-09-19,37.0,1.9,73
2023-09-20,37.5,1.4,72
2023-09-21,37.0,2.1,73
2023-09-22,36.4,2.8,74
2023-09-23,35.8,3.9,75
2023-09-24,35.2,5.0,76
2023-09-25,34.6,6.1,77
2023-09-26,34.0,7.2,78
2023-09-27,33.4,8.3,79
2023-09-28,32.8,9.4,80
2023-09-29,32.2,10.5,81
2023-09-30,31.7,11.8,82
2023-10-01,30.5,2.0,65
2023-10-02,29.8,1.5,64
2023-10-03,29.1,1.0,63
2023-10-04,28.4,0.6,62
2023-10-05,27.7,0.3,61
2023-10-06,27.1,0.0,60
2023-10-07,26.5,0.0,59
2023-10-08,25.8,0.0,58
2023-10-09,25.2,0.0,57
2023-10-10,24.7,0.0,56
2023-10-11,24.3,0.0,55
2023-10-12,23.8,0.0,54
2023-10-13,23.3,0.0,53
2023-10-14,22.9,0.0,52
2023-10-15,22.4,0.0,51
2023-10-16,22.0,0.0,50
2023-10-17,21.6,0.0,52
2023-10-18,21.2,0.0,54
2023-10-19,20.7,0.0,55
2023-10-20,20.3,0.0,56
2023-10-21,19.9,0.0,58
2023-10-22,19.5,0.0,59
2023-10-23,19.1,0.0,60
2023-10-24,18.7,0.0,62
2023-10-25,18.3,0.0,63
2023-10-26,17.9,0.0,65
2023-10-27,17.5,0.0,66
2023-10-28,17.1,0.0,67
2023-10-29,16.7,0.0,68
2023-10-30,16.3,0.0,69
2023-10-31,15.9,0.0,70
2023-11-01,15.5,0.0,71
2023-11-02,15.1,0.0,72
2023-11-03,14.8,0.0,73
2023-11-04,14.5,0.0,74
2023-11-05,14.2,0.0,75
2023-11-06,14.0,0.0,74
2023-11-07,13.8,0.0,73
2023-11-08,13.6,0.0,72
2023-11-09,13.4,0.0,71
2023-11-10,13.2,0.0,70
2023-11-11,13.0,0.0,68
2023-11-12,12.9,0.0,67
2023-11-13,12.7,0.0,66
2023-11-14,12.5,0.0,65
2023-11-15,12.4,0.0,64
2023-11-16,12.2,0.0,63
2023-11-17,12.1,0.0,62
2023-11-18,12.0,0.0,61
2023-11-19,11.9,0.0,60
2023-11-20,11.7,0.0,59
2023-11-21,11.6,0.0,58
2023-11-22,11.4,0.0,57
2023-11-23,11.2,0.0,56
2023-11-24,11.1,0.0,55
2023-11-25,11.0,0.0,54
2023-11-26,10.8,0.0,53
2023-11-27,10.7,0.0,52
2023-11-28,10.6,0.0,51
2023-11-29,10.5,0.0,50
2023-11-30,10.3,0.0,49
2023-12-01,10.2,0.0,48
2023-12-02,10.1,0.0,47
2023-12-03,10.0,0.0,46
2023-12-04,9.8,0.0,45
2023-12-05,9.7,0.0,44
2023-12-06,9.5,0.0,43
2023-12-07,9.3,0.0,42
2023-12-08,9.1,0.0,41
2023-12-09,9.0,0.0,40
2023-12-10,8.8,0.0,39
2023-12-11,8.6,0.0,38
2023-12-12,8.5,0.0,37
2023-12-13,8.3,0.0,36
2023-12-14,8.1,0.0,35
2023-12-15,8.0,0.0,34
2023-12-16,7.8,0.0,33
2023-12-17,7.6,0.0,32
2023-12-18,7.5,0.0,31
2023-12-19,7.3,0.0,30
2023-12-20,7.2,0.0,29
2023-12-21,7.0,0.0,28
2023-12-22,6.9,0.0,27
2023-12-23,6.8,0.0,26
2023-12-24,6.6,0.0,25
2023-12-25,6.5,0.0,24
2023-12-26,6.4,0.0,23
2023-12-27,6.2,0.0,22
2023-12-28,6.1,0.0,21
2023-12-29,6.0,0.0,20
2023-12-30,5.8,0.0,19
2023-12-31,5.7,0.0,18
